brand,model,trim,manufacture_year,condition,transmission,body_type,fuel_type,engine_capacity,mileage,price
Toyota,Wigo,,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc","75,000 km",6250000
Toyota,Vitz,Edition 3,2018,Used,Automatic,Hatchback,Petrol,990 cc,"152,570 km",8500000
Toyota,Vitz,Vitz,2015,Used,Automatic,Hatchback,Petrol,"1,000 cc","120,000 km",6850000
Toyota,Aqua,,2014,Used,Automatic,Hatchback,Hybrid,"1,496 cc","153,500 km",7400000
Toyota,Vitz,,2008,Used,Automatic,Hatchback,Petrol,990 cc,"133,334 km",5850000
Toyota,Aqua,Urban,2015,Used,Automatic,Hatchback,Hybrid,"1,500 cc","152,000 km",7350000
Toyota,Aqua,,2014,Used,Automatic,Hatchback,Petrol,"1,500 cc","91,000 km",8400000
Toyota,Vitz,Edition 2 Safety,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","47,000 km",7850000
Toyota,Pixis,Joy,2017,Used,Automatic,Hatchback,Petrol,650 cc,"111,000 km",6250000
Toyota,Vitz,,2008,Used,Automatic,Hatchback,Petrol,"1,000 cc","125,000 km",5950000
Toyota,Vitz,Safty,2017,Used,Automatic,Hatchback,Petrol,"1,000 cc","85,000 km",7650000
Toyota,Vitz,8 AIR BAG,2009,Used,Automatic,Hatchback,Petrol,"1,000 cc","145,000 km",5175000
Toyota,Passo,Auto,2015,Used,Automatic,Hatchback,Petrol,990 cc,"129,000 km",6290000
Toyota,Aqua,S Grade,2012,Used,Automatic,Hatchback,Hybrid,"1,490 cc","191,955 km",6975000
Toyota,Aqua,Toyota Aqua,2015,Used,Automatic,Hatchback,Hybrid,"1,500 cc","128,000 km",8900000
Toyota,Aqua,Urban,2015,Used,Automatic,Hatchback,Hybrid,"1,500 cc","131,000 km",8500000
Toyota,Vitz,Edition 2,2018,Used,Automatic,Hatchback,Petrol,"1,000 cc","65,000 km",7850000
Honda,Fit,GP1,2013,Used,Automatic,Hatchback,Hybrid,"1,300 cc","120,000 km",6975000
Toyota,Aqua,S GRADE,2012,Used,Automatic,Hatchback,Hybrid,"1,490 cc","137,000 km",6950000
Toyota,Aqua,Aqua,2015,Used,Automatic,Hatchback,Hybrid,"1,500 cc","150,000 km",8550000
